320,644,GMDW3624BD,GMD-W3624BD,0,0,0
321,645,GMDW3024BD,GMD-W3024BD,0,0,0
322,657,GMDAW1230,GMDAW1230,0,0,0
323,658,GMDAW1236,GMDAW1236,0,0,0
324,659,GMDAW1242,GMDAW1242,0,0,0
325,698,CCP,Grape Corner Post,35,3,3
326,711,GRPONL,Grape Onlay,4,4,6
327,709,HOLN,Half Onlay Left,4,4,6
328,710,HCONL36,Hand Carved Onlay 36,4,4,6
329,712,HCONL20,Hand Carved Onlay 20,4,4,6
330,800,DH,Door Hinge,1,1,1
331,772,IC,"IC - Inside Corner Molding 3/4"" x 3/4"" x 1/2"" Radius",96,1,1
332,693,TSILEG,Tapered Smooth Island Leg,36,4,4
333,569,GVDDS,Ginger Deluxe Vandyke Distress Door Sample,0,0,0
334,552,MDVDDS,Mocha Deluxe Vandyke Distressed Door Sample,0,0,0
335,553,MDVDRDS,Mocha Deluxe Vandyke Rub Door Sample,0,0,0
336,324,FVDS,French Vanilla Deluxe Door Sample,0,0,0
337,551,FVHPDS,French Vanilla Harvest Pen Glaze Door Sample,0,0,0
338,548,FVCMDS,French Vanilla Chocolate Mist Door Sample,0,0,0
339,550,FVCHMDS,French Vanilla Charcoal Mist Door Sample,0,0,0
340,561,FVHMDS,French Vanilla Deluxe Harvest Mist Door Sample,0,0,0
341,549,FVPMDS,French Vanilla Pewter Mist Door Sample,0,0,0
342,556,TEABSTDS,Teaberry Door Sample,0,0,0
343,554,GDVDRDS,Ginger Deluxe Vandyke Rub Door Sample,0,0,0
344,534,FVVDDS,French Vanilla Vandyke Distressed Door Sample,0,0,0
345,557,BLACKDS,Standard Black Door Sample,0,0,0
346,717,KVAPL,Platinum Appliance Lift,0,0,0
347,750,LasyDaisy28,Lazy Daisy Single Tray For SCB33,0,0,0
348,751,LasyDaisy32,Lazy Daisy Single Tray For SCB36 (COPY),30,24,3
349,295,LBMF,"LBMF - Light Baffle Molding/Light Rail 1 - 11/32""T x 1 - 3/4"" W x 96""L",0,0,0
350,723,DFSPRK6,Door Front Kit For 6 Inch Base Filler Spice Rack,0,0,0
351,730,DFSPRK636,Door Front Kit For 6 Inch Wall Filler Spice Rack,0,0,0
352,258,MBEP2430,MBEP2430 Use For Base Cabinets 24 Deep,24,30,1
